order_pay_date,pay_order_num,aim_order_num,pay_goods_num,demand_goods_num,peihuo_order_num,peihuo_duration,t0_peihuo_order_num,t0_peihuo_duration,t1_peihuo_order_num,t1_peihuo_duration,t2_peihuo_order_num,t2_peihuo_duration,t3_peihuo_order_num,t3_peihuo_duration,t4_peihuo_order_num,t4_peihuo_duration,t5_peihuo_order_num,t5_peihuo_duration,t6_peihuo_order_num,t6_peihuo_duration,t7_peihuo_order_num,t7_peihuo_duration,ship_order_num,ship_goods_num,aim_order_rate,demand_goods_rate,mean_peihuo_duration,peihuo_order_rate,ship_order_rate,ship_goods_rate
2017-09-12,9646,1675,81844,26051,7885,319652.587777778,1118,11370.7683333333,3168,102160.423611111,2464,123407.571111111,909,60353.8338888889,172,15499.6997222222,26,2855.9525,28,4004.33861111111,0,0,7856,62279,0.173647107609372,0.318300669566492,40.5393262876066,0.817437279701431,0.814430852166701,0.760947656517277
2017-09-13,9496,1880,80986,24187,7833,319372.752777778,1128,11395.5980555556,2841,89419.5630555556,2602,127762.837222222,1027,67946.04,178,16304.6933333333,54,6135.5225,3,408.498611111111,0,0,7812,62395,0.197978096040438,0.298656557923592,40.7727247258749,0.824873631002527,0.822662173546757,0.770441804756378
2017-09-14,10096,2056,89097,25170,8291,346230.979444445,1165,11355.7222222222,2710,84012.8113888889,2972,143742.615277778,1060,71096.3466666667,319,28252.6805555556,55,6433.77388888889,10,1337.02944444444,0,0,8275,67168,0.20364500792393,0.28250109431294,41.7598576099921,0.821216323296355,0.819631537242472,0.753874990179243
2017-09-15,11142,1995,106856,30459,9239,409315.3625,1111,11033.4483333333,2944,92361.4,2850,142371.3975,2014,132534.3375,247,22181.9294444444,62,7049.70361111111,8,1068.81416666667,3,714.331944444445,9217,82451,0.179052234787291,0.285047166279853,44.3029941010932,0.829204810626458,0.827230299766649,0.771608519877218
2017-09-16,11904,1536,128980,39764,9937,475000.198333333,966,9780.65277777778,2479,81150.5363888889,4223,210033.297222222,1613,110783.604722222,538,47354.7416666667,94,10901.5258333333,4,530.828888888889,20,4465.01083333333,9916,100537,0.129032258064516,0.308295859823228,47.801167186609,0.834761424731183,0.832997311827957,0.779477438362537
2017-09-17,10143,1132,108918,36630,8474,403753.519444445,790,8868.09944444444,2507,80210.6627777778,2923,151606.185833333,1961,133465.879444444,231,21584.7441666667,41,4931.0575,18,2469.61861111111,3,617.271666666667,8465,83580,0.111604061914621,0.336308048256487,47.6461552330003,0.835453021788426,0.834565710342108,0.767366275546742
2017-09-18,10024,1367,108994,33145,8508,372946.615,970,9430.31694444444,2367,74024.7197222222,3741,182702.078611111,1171,80640.2341666667,195,18082.4444444444,47,5294.92583333333,14,2093.61972222222,3,678.275555555556,8494,84238,0.136372705506784,0.304099308218801,43.8348160554772,0.848762968874701,0.847366320830008,0.772868231278786
2017-09-19,10361,1578,115946,32402,9094,391140.838888889,1032,10626.9836111111,3278,103083.119444444,3196,159314.018888889,1278,86997.6386111111,210,18796.1791666667,89,10614.2438888889,9,1235.89916666667,2,472.756111111111,9082,92684,0.152301901360873,0.279457678574509,43.0108685824597,0.877714506321784,0.876556316957823,0.799372121504838
2017-09-20,10666,1735,121530,32437,9268,407496.349722222,1143,11848.6658333333,3113,101250.158888889,3241,162518.582777778,1351,91620.9625,343,29938.78,50,5666.76083333333,18,2457.5525,9,2194.88638888889,9266,97311,0.162666416651041,0.266905290874681,43.9680998837098,0.868929308081755,0.868741796362273,0.800715872624043
2017-09-21,12764,1904,145666,39658,10986,489919.849444444,1235,12047.0875,3397,107588.226944444,3987,198394.933333333,1893,123897.825,347,30591.1016666667,91,10641.185,18,2453.97638888889,18,4305.51361111111,10975,115488,0.149169539329364,0.27225296225612,44.5949253089791,0.860701974302726,0.859840175493576,0.792827427127813
2017-09-22,14049,1738,172189,48522,12291,565913.9975,1276,12402.7391666667,3297,105090.869444444,4607,227032.910555556,2529,165150.408611111,439,39151.8341666667,110,12388.4677777778,32,4497.10833333333,1,199.659444444444,12284,138584,0.123709872588796,0.281795004326641,46.0429580587421,0.874866538543669,0.874368282440031,0.804836545888529
